seed,type,N,T,b₀ᵢ,β,ρ,σₐ,σᵤ,iterations,LL,V_norm_finalstep,V_norm_true,V
1,True,2,5,"[-0.7058313895389791, 5.314767537831963]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
1,Sample,2,5,,,,3.2539872296752925,1.1996344268856647,,,,,
1,Estimated,2,5,"[-4.8282084727818795, 1.2079052519477633]","[3.656184085006198, -0.08357320947432856]",0.010000000000000002,0.010000000000000007,0.4577466708273724,10,2.8126559749807054,1.5414141066186877e-11,51.80502690839642,
2,True,2,5,"[-0.05737244600260246, 17.35376213870901]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
2,Sample,2,5,,,,1.981774309145023,2.192524417396976,,,,,
2,Estimated,2,5,"[-1.4215328591242513, 17.175150069266568]","[0.4542734526486506, 0.24320569554710145]",0.010000000000000002,0.3245074639537775,0.5886058893164968,10,-0.8873853365736544,9.151515295177586e-11,51.36384063010223,
3,True,2,5,"[-6.637635515551271, 13.632084599735597]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
3,Sample,2,5,,,,2.926476988572934,0.44253145282935263,,,,,
3,Estimated,2,5,"[-6.988360293019822, 13.461684761546861]","[1.1807891907002641, 0.036158505118149865]",0.010000000000000002,0.39531900116160995,0.4001823021194727,10,1.4523598770341906,1.0548732752875487e-10,51.48145430429264,
4,True,2,5,"[17.07371258640649, 20.015123867881837]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
4,Sample,2,5,,,,1.097281101346487,1.892075849463779,,,,,
4,Estimated,2,5,"[14.303158801176666, 17.4087589658578]","[1.1289776847851911, 0.143241980665653]",0.010000000000000002,0.010000000000000002,0.6813488176867268,10,-1.1635624263012914,3.855277585663158e-11,51.47136020043248,
5,True,2,5,"[0.17205046232868315, 12.623658511338068]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
5,Sample,2,5,,,,1.6656982549045574,1.998504063828674,,,,,
5,Estimated,2,5,"[-0.3570268862051997, 11.283930248629634]","[3.062411694042451, -0.2775056484930727]",0.010000000000000002,0.5621759824738065,0.4331212333607046,10,-0.3192523021755118,1.0180012026518248e-10,51.05431704641116,
